a

absolute,a
academy,b
accent,b
accident,b
account,b
achievement,b
acid,e
acoustic,a
act,e
addiction,b
adjustable,a
administration,b
administrative,a
adult,e
adverse,e
advertisement,b
advertising,a
advisor,b
affair,b
african,a
agent,b
ages,b
agreement,b
agricultural,a
aid,b
air,e
airlines,b
album,b
alert,b
alien,b
allergy,b
almost,a
alternate,a
aluminum,a
amateur,a
amendment,b
american,a
analog,a
analyst,b
angry,a
anniversary,b
announcement,b
another,a
apartment,b
app,b
apple,e
appointment,b
arabic,a
architectural,a
arena,b
armed,a
arrangement,b
artificial,a
asian,a
assignment,b
assistance,b
atmospheric,a
atomic,a
audio,a
australian,a
automatic,a
